iter	Passed	Remaining
684	65007	29893
685	65113	29804
686	65206	29708
687	65300	29613
688	65443	29539
689	65544	29447
690	65637	29351
691	65726	29254
692	65817	29157
693	65909	29061
694	66013	28969
695	66106	28874
696	66200	28778
697	66291	28682
698	66390	28588
699	66499	28499
700	66589	28402
701	66681	28306
702	66774	28210
703	66867	28114
704	66968	28022
705	67065	27927
706	67155	27831
707	67247	27734
708	67343	27640
709	67456	27552
710	67560	27461
711	67656	27366
712	67757	27274
713	67845	27176
714	67934	27078
715	68036	26986
716	68132	26891
717	68225	26796
718	68322	26701
719	68425	26609
720	68527	26517
721	68624	26423
722	68722	26329
723	68824	26236
724	68920	26142
725	69021	26049
726	69115	25954
727	69211	25859
728	69313	25766
729	69413	25673
730	69510	25579
731	69604	25483
732	69698	25388
733	69789	25291
734	69896	25200
735	70003	25110
736	70100	25015
737	70195	24920
738	70292	24825
739	70385	24730
740	70485	24636
741	70588	24544
742	70681	24448
743	70772	24351
744	70866	24256
745	70959	24160
746	71063	24068
747	71157	23972
748	71249	23876
749	71344	23781
750	71438	23686
751	71538	23592
752	71629	23496
753	71724	23400
754	71820	23305
755	71915	23210
756	72019	23118
757	72119	23025
758	72213	22929
759	72309	22834
760	72413	22742
761	72508	22646
762	72612	22554
763	72714	22461
764	72806	22365
765	72924	22277
766	73034	22186
767	73125	22090
768	73230	21997
769	73332	21904
770	73426	21809
771	73524	21714
772	73627	21621
773	73722	21526
774	73815	21430
775	73925	21339
776	74031	21247
777	74139	21155
778	74234	21060
779	74333	20965
780	74426	20870
781	74514	20772
782	74605	20676
783	74708	20583
784	74806	20488
785	74898	20392
786	74989	20295
787	75081	20199
788	75167	20101
789	75259	20005
790	75348	19908
791	75437	19811
792	75528	19715
793	75614	19617
794	75706	19521
795	75797	19425
796	75892	19330
797	75985	19234
798	76076	19138
799	76174	19043
800	76276	18949
801	76367	18853
802	76454	18756
803	76548	18661
804	76643	18565
805	76734	18469
806	76830	18374
807	76918	18277
808	77006	18180
809	77090	18083
810	77186	17987
811	77279	17892
812	77376	17797
813	77463	17700
814	77559	17605
815	77653	17510
816	77758	17417
817	77851	17321
818	77946	17226
819	78051	17133
820	78141	17036
821	78239	16942
822	78329	16846
823	78421	16750
824	78516	16655
825	78600	16557
826	78692	16461
827	78798	16368
828	78898	16274
829	79022	16185
830	79123	16091
831	79214	15995
832	79303	15898
833	79408	15805
834	79500	15709
835	79592	15613
836	79707	15522
837	79801	15427
838	79899	15332
839	79995	15237
840	80092	15142
841	80193	15048
842	80303	14955
843	80405	14861
844	80499	14766
845	80595	14671
846	80695	14576
847	80793	14481
848	80890	14386
849	80987	14291
850	81081	14196
851	81176	14101
852	81268	14005
853	81361	13909
854	81458	13814
855	81553	13719
856	81646	13623
857	81745	13528
858	81844	13434
859	81948	13340
860	82051	13246
861	82153	13152
862	82255	13058
863	82350	12962
